Mods count: 288
 
jar name                                                                            | mod id (isMCreator)                                     | mixin configs
Nullscape_1.20.x_v1.2.8.jar                                                         | nullscape                                               | 
OctoLib-FORGE-0.5.0.1+1.20.1.jar                                                    | octolib                                                 | octolib-common.mixins.json
    /META-INF/jars/snakeyaml-2.2.jar                                                |                                                         | 
oculus-mc1.20.1-1.8.0.jar                                                           | oculus                                                  | mixins.oculus.compat.sodium.json, sodiumCompatibility-oculus-mixins-refmap.json, mixins.oculus.integrationtest.json, mixins.oculus.compat.dh.json, mixins.oculus.vertexformat.json, mixins.oculus.fixes.maxfpscrash.json, oculus-batched-entity-rendering.mixins.json, mixins.oculus.compat.indium.json, mixins.oculus.json, oculus-mixins-refmap.json, mixins.oculus.compat.indigo.json, mixins.oculus.bettermipmaps.json, mixins.oculus.compat.pixelmon.json, mixins.oculus.fantastic.json
    /META-INF/jars/jcpp-1.4.14.jar                                                  |                                                         | 
opacpvp-forge-1.0.1-1.20.1.jar                                                      | opacpvp                                                 | mixins.opacpvp.json
open-parties-and-claims-forge-1.20.1-0.27.5.jar                                     | openpartiesandclaims                                    | openpartiesandclaims.create.forge.mixins.json, openpartiesandclaims.mixins.json, openpartiesandclaims.forge.mixins.json, openpartiesandclaims.create.mixins.json
pandalib-forge-mc1.20-0.5.2-SNAPSHOT.jar                                            | pandalib                                                | pandalib-common.mixins.json, pandalib.mixins.json
Patchouli-1.20.1-85-FORGE.jar                                                       | patchouli                                               | patchouli_xplat.mixins.json
PickUpNotifier-v8.0.0-1.20.1-Forge.jar                                              | pickupnotifier                                          | pickupnotifier.common.mixins.json
Placebo-1.20.1-8.6.3.jar                                                            | placebo                                                 | placebo.mixins.json
